编号,地区,性别,受教育程度,观点,年龄,月收入,月支出
715,C,女,中,支持,41,3591,1810
716,C,男,高,不支持,36,3046,2170
717,A,女,中,支持,41,2423,1849
718,B,男,低,不支持,53,2403,1689
719,A,男,中,支持,49,2561,2048
720,C,男,高,支持,32,2399,1971
721,B,女,高,支持,33,1553,1518
722,D,女,高,支持,38,2695,1252
723,B,女,高,不支持,38,4216,1898
724,D,男,中,不支持,43,4442,1909
725,D,女,中,支持,41,4784,1534
726,B,女,高,不支持,29,2147,1554
727,D,女,中,不支持,41,2625,2366
728,D,男,高,不支持,46,2617,2083
729,D,女,高,支持,49,1506,2229
730,B,男,低,不支持,60,3157,1142
731,B,男,低,不支持,55,3591,2304
732,D,女,低,支持,42,1072,2185
733,A,女,低,支持,63,2158,2245
734,C,女,高,不支持,26,3309,2118
735,B,男,中,不支持,53,2814,1465
736,C,女,高,不支持,49,2896,1790
737,D,男,中,不支持,39,3195,1653
738,B,男,中,不支持,38,4659,2296
739,C,男,中,支持,42,3377,1325
740,B,男,低,不支持,31,2484,1406
741,B,男,中,不支持,42,3433,1379
742,B,男,低,支持,39,3777,2125
743,B,女,低,不支持,36,2451,2031
744,C,男,中,不支持,41,3139,1686
745,C,女,高,支持,37,1182,2446
746,C,女,高,不支持,28,3329,1965
747,D,男,低,不支持,25,3236,1815
748,A,女,中,不支持,22,2505,1543
749,D,女,中,支持,37,3283,2368
750,C,女,中,不支持,47,2492,1696
751,C,女,高,不支持,67,2788,2067
752,B,男,中,支持,25,2986,2137
753,B,女,低,不支持,34,2578,1936
754,C,男,低,支持,38,3234,2377
755,C,女,中,不支持,46,4040,1961
756,B,女,中,支持,46,3382,2190
757,B,男,中,支持,34,4066,2297
758,B,女,低,不支持,35,4292,1645
759,A,女,中,支持,56,2557,2057
760,B,女,低,支持,45,3376,2064
761,B,男,中,支持,26,2193,1190
762,D,男,低,支持,20,1973,1759
763,B,女,低,不支持,58,3891,1420
764,C,女,中,不支持,42,3035,2107
765,A,女,中,不支持,46,3027,1947
766,D,女,高,不支持,46,1032,1730
767,D,男,低,支持,46,2591,1509
768,C,男,中,不支持,32,2106,2423
769,D,男,高,不支持,26,2363,2213
770,B,女,中,支持,19,2722,2230
771,C,女,中,不支持,48,676,1792
772,A,男,中,不支持,48,2636,2022
773,D,女,低,不支持,35,4463,1975
774,D,女,中,不支持,37,1875,1483
775,A,女,中,不支持,38,1829,1635
776,A,女,低,支持,47,3503,1569
777,D,女,中,支持,43,2866,1756
778,B,男,低,不支持,40,3611,1808
779,B,女,低,支持,19,1862,2566
780,B,女,低,不支持,32,2513,2905
781,C,男,中,支持,48,2898,1346
782,B,男,中,不支持,40,3284,2062
783,B,男,中,支持,47,2916,1784
784,D,男,低,支持,30,2118,2302
785,A,女,中,不支持,27,2185,1786
786,C,女,高,不支持,42,3580,1645
787,B,男,高,不支持,49,3160,1927
788,C,男,中,不支持,44,3535,1993
789,C,男,低,支持,33,3784,2298
790,B,男,高,不支持,50,3562,1494
791,B,男,中,支持,29,3823,2060
792,B,女,中,不支持,44,1087,1346
793,C,女,高,支持,46,2006,2022
794,A,男,高,支持,35,1946,1687
795,C,女,中,支持,22,2643,2019
796,C,男,高,支持,46,2171,1699
797,B,女,中,不支持,58,3363,1947
798,B,女,中,支持,34,2124,1112
799,C,男,中,不支持,31,2548,2316
800,B,女,高,支持,40,4463,2576
801,C,男,中,不支持,21,3543,1839
802,B,男,低,不支持,54,5098,1922
803,C,男,低,不支持,38,4158,2176
804,C,女,中,不支持,16,2620,1816
805,C,女,低,不支持,26,2946,2023
806,C,女,中,支持,41,3080,2963
807,B,女,中,不支持,49,3692,1433
808,D,女,中,支持,43,2850,2216
809,A,女,中,不支持,39,2354,1447
810,B,女,中,不支持,35,2732,2311
811,C,男,低,不支持,47,3501,1402
812,B,女,高,不支持,13,3783,1618
813,D,女,中,支持,23,4267,2317
814,B,女,中,支持,41,1568,2235
815,B,男,低,不支持,37,3648,1784
816,B,男,中,支持,40,4639,1793
817,B,女,中,不支持,44,3476,2205
818,D,男,中,不支持,34,2347,1752
819,B,男,中,支持,50,3283,1889
820,D,女,中,不支持,41,3538,1274
821,B,女,中,不支持,41,3713,1501
822,B,男,中,不支持,40,3288,1843
823,C,女,中,支持,44,2702,2406
824,D,男,中,支持,62,2258,1640
825,B,男,中,支持,34,3194,1953
826,D,女,低,不支持,37,2577,2784
827,B,男,低,支持,39,3022,1574
828,D,男,中,不支持,66,2464,1543
829,A,男,高,支持,34,1503,2251
830,C,女,高,支持,54,3432,2102
831,D,男,中,不支持,39,3047,1821
832,C,女,低,不支持,31,5343,2326
833,C,女,低,不支持,23,4155,2011
834,A,女,低,不支持,26,3921,2476
835,B,男,高,支持,22,4722,2110
836,D,女,中,支持,34,3116,1716
837,A,男,低,不支持,35,2902,1913
838,D,女,中,支持,49,3773,1281
839,B,女,高,支持,40,1833,1839
840,B,男,中,支持,32,981,2178
841,B,男,低,不支持,35,1998,1494
842,C,女,中,支持,44,4008,1721
843,C,女,中,支持,44,2235,2800
844,D,男,中,不支持,34,3055,2337
845,B,男,中,支持,43,1923,1937
846,C,女,高,支持,39,3616,2337
847,A,女,中,不支持,53,4334,1712
848,B,女,中,不支持,25,3843,1272
849,A,女,中,支持,43,2357,2296
850,B,男,中,不支持,49,2799,2215
851,C,男,中,不支持,32,2384,2211
852,D,女,高,支持,34,3923,1821
853,D,女,低,支持,54,3586,1803
854,B,女,中,支持,39,3446,1253
855,B,男,中,不支持,36,2118,1735
856,A,女,中,支持,37,2031,1454
857,C,女,高,支持,34,2622,1973
858,C,女,中,不支持,32,1435,1245
859,B,女,高,支持,61,2966,2874
860,C,女,中,支持,30,2715,1308
861,D,女,低,不支持,42,2817,2070
862,B,男,中,不支持,34,3115,2479
863,A,男,中,不支持,46,2513,1546
864,C,男,中,不支持,39,1963,1869
865,C,男,中,支持,38,3893,2223
866,C,女,低,不支持,23,2919,1825
867,A,男,高,不支持,36,4272,2294
868,C,男,中,不支持,44,1451,1700
869,B,男,中,支持,39,3602,2734
870,B,男,中,不支持,43,2401,2559
871,A,女,中,支持,52,3916,1338
872,C,男,中,支持,63,2955,2077
873,A,女,中,不支持,49,3932,2336
874,B,男,低,支持,41,3316,2265
875,A,男,高,支持,32,4603,1059
876,B,男,高,不支持,12,3046,2176
877,C,女,中,不支持,29,2940,2415
878,A,男,高,支持,34,3645,2305
879,B,女,中,支持,49,2961,1427
880,C,女,中,不支持,52,2145,1904
881,C,女,中,不支持,26,3002,2090
882,C,男,低,不支持,27,2030,1666
883,D,男,中,支持,49,3725,2066
884,B,男,低,支持,39,3147,2757
885,B,男,高,不支持,52,2561,1448
886,C,女,低,支持,30,945,2498
887,C,女,中,不支持,45,2279,1969
888,A,男,高,支持,46,3567,2033
889,A,男,中,支持,27,3962,2746
890,B,女,高,不支持,42,3854,2158
891,B,男,高,不支持,46,4129,1721
892,C,女,中,不支持,44,1022,2400
893,C,男,中,支持,31,2257,1517
894,B,男,中,支持,53,4075,1322
895,C,男,高,不支持,29,6239,1883
896,C,女,高,支持,32,4781,1608
897,B,男,低,支持,27,4050,1183
898,B,男,低,支持,24,3748,2163
899,C,男,中,支持,37,2014,2391
900,B,男,中,不支持,34,3494,1901
901,C,女,高,支持,30,1330,2233
902,B,女,中,支持,36,4059,2002
903,D,女,中,支持,44,4141,2569
904,B,男,中,不支持,45,3855,2652
905,B,男,中,不支持,37,1569,1535
906,C,男,高,不支持,45,2179,1796
907,A,男,中,支持,68,4182,1878
908,A,男,中,支持,63,4198,1606
909,B,男,中,不支持,42,3419,1862
910,D,男,高,不支持,20,2814,1862
911,D,女,高,不支持,46,4048,1826
912,B,女,中,支持,37,3125,1430
913,C,女,高,不支持,50,2350,2504
914,B,女,低,支持,37,3147,1656
915,B,女,中,支持,46,2522,1416
916,D,男,低,不支持,45,2573,2061
917,C,女,中,支持,52,3430,2088
918,D,男,中,支持,37,1799,2409
919,C,男,中,不支持,26,1578,1787
920,C,男,中,不支持,41,2613,2739
921,C,男,中,不支持,34,3116,2203
922,C,男,低,不支持,43,970,2822
923,B,男,低,支持,31,2208,2304
924,B,女,中,支持,26,2665,2548
925,D,男,高,不支持,37,1954,1768
926,C,女,中,不支持,33,2030,1908
927,B,男,低,支持,51,2831,2022
928,B,男,中,不支持,29,3640,2461
929,A,女,中,不支持,40,3735,2338
930,A,女,中,不支持,40,2718,2118
931,D,男,高,不支持,40,4541,1472
932,C,男,高,支持,41,1516,2173
933,C,男,低,支持,65,2386,1914
934,C,男,高,支持,38,3178,2262
935,D,男,中,不支持,6,2487,1939
936,C,女,低,不支持,44,3208,1668
937,B,男,高,支持,43,3038,2046
938,B,女,低,不支持,32,3270,2246
939,A,女,高,不支持,53,3007,2374
940,B,男,中,不支持,60,4211,2158
941,C,女,高,不支持,38,4025,2284
942,A,男,中,支持,48,1204,2086
943,D,男,低,支持,44,4105,2187
944,A,女,低,支持,37,1827,2639
945,C,女,高,不支持,33,2745,1678
946,A,男,低,不支持,42,1908,1777
947,C,男,中,支持,48,4134,1701
948,C,男,高,不支持,34,3130,1822
949,B,女,中,不支持,40,2605,1983
950,C,男,中,不支持,34,4193,1813
951,B,女,低,支持,55,3480,1596
952,B,男,中,支持,12,3654,2017
953,C,女,中,支持,42,1904,1952
954,B,男,中,不支持,52,3284,1811
955,C,男,低,支持,58,1496,2918
956,B,女,高,不支持,34,2883,2415
957,B,女,中,支持,36,3978,1944
958,A,女,高,不支持,35,1196,1934
959,B,男,高,支持,35,3080,1792
960,B,男,低,支持,30,1063,2123
961,B,女,高,支持,53,4154,1650
962,B,女,低,支持,48,1191,2471
963,C,男,中,支持,41,3708,1824
964,A,女,高,不支持,38,3626,1750
965,B,女,中,支持,35,3495,1497
966,B,女,高,不支持,50,2396,1550
967,B,男,低,支持,54,3588,1592
968,A,男,中,支持,44,2890,1939
969,C,男,低,支持,36,2976,2370
970,D,男,高,不支持,38,3029,2478
971,D,女,中,支持,38,2483,2901
972,C,男,中,支持,44,4604,1694
973,B,女,低,不支持,30,2724,2007
974,D,男,低,支持,30,5321,2244
975,B,男,低,支持,50,2678,2198
976,B,女,低,不支持,53,3492,1771
977,C,男,中,支持,46,2835,1600
978,D,男,中,支持,35,3204,1946
979,D,男,低,不支持,43,2346,2601
980,A,男,高,不支持,36,2012,1382
981,B,男,中,不支持,33,3414,2294
982,D,男,中,不支持,18,2344,2087
983,A,女,低,不支持,35,3484,2106
984,B,女,高,不支持,35,4632,1958
985,B,男,高,不支持,47,2536,1841
986,C,男,中,不支持,53,2794,1967
987,C,女,中,支持,12,3376,2045
988,A,男,高,不支持,30,2391,2221
989,D,男,中,不支持,36,2092,1623
990,A,男,中,支持,38,2222,1965
991,D,男,高,不支持,39,3461,1714
992,B,男,高,不支持,16,879,2071
993,C,女,中,不支持,51,3414,2502
994,D,女,中,支持,35,3642,1782
995,C,男,低,支持,47,3248,1418
996,B,女,中,支持,37,3642,2201
997,B,女,高,不支持,52,2879,2259
998,C,男,高,支持,45,3061,1842
999,B,男,中,不支持,40,2427,1542
1000,B,女,低,支持,38,4180,2392
1001,B,男,低,支持,40,1900,960
1002,D,男,高,支持,51,778,1945
1003,A,男,高,不支持,43,3120,1747
1004,B,男,高,支持,34,2243,2169
1005,C,女,高,支持,55,2693,1867
1006,D,男,中,不支持,41,3047,2256
1007,B,男,低,不支持,39,4404,1875
1008,C,女,中,支持,53,2423,2315
1009,C,女,中,不支持,47,2489,1951
1010,C,女,中,支持,28,637,2168
1011,B,男,低,不支持,51,2838,2612
1012,D,女,低,支持,46,2325,1982
1013,B,男,中,支持,32,3653,1849
1014,B,男,中,支持,40,3069,1878
1015,B,男,中,不支持,30,4090,2041
1016,B,女,低,支持,30,3751,1399
1017,D,男,中,不支持,31,4429,2456
1018,B,男,低,支持,40,2401,2374
1019,D,女,低,支持,47,889,2383
1020,B,男,中,支持,34,2797,1467
1021,B,男,低,不支持,33,3476,2376
1022,C,女,高,支持,31,2546,2606
1023,B,男,中,支持,32,3999,1976
1024,C,女,低,支持,32,3613,1779
1025,A,男,中,不支持,37,2587,2483
1026,B,女,中,支持,36,4849,2238
1027,D,男,中,支持,39,4009,2638
1028,B,女,低,支持,29,1583,2243
1029,C,女,低,支持,38,2012,1860
1030,D,男,中,不支持,26,2489,1721
1031,C,女,中,不支持,38,3768,2262
1032,B,男,中,不支持,43,3241,2007
1033,A,女,低,不支持,19,3037,2341
1034,C,男,高,不支持,48,3087,1942
1035,C,男,低,支持,50,2547,1501
1036,B,男,高,不支持,23,2340,1838
1037,C,男,中,支持,19,3694,2081
1038,C,女,中,不支持,43,3565,1932
1039,B,女,高,支持,23,2834,1551
1040,C,女,低,支持,62,2792,1801
1041,C,男,中,支持,25,4318,1949
1042,B,男,中,不支持,50,2947,2657
1043,D,男,中,支持,22,1435,1764
1044,D,女,中,支持,47,4598,2366
1045,C,男,高,不支持,52,3580,1777
1046,C,男,中,不支持,40,4388,2092
1047,C,男,高,支持,28,2549,2209
1048,C,男,高,支持,36,1209,1718
1049,B,男,中,不支持,52,2600,2497
1050,A,女,中,支持,47,3606,2442
1051,B,男,中,不支持,42,3003,1345
1052,D,女,低,支持,38,3326,1931
1053,B,男,高,不支持,40,2763,1751
1054,D,女,低,支持,48,2886,1371
1055,A,女,中,支持,49,2754,2545
1056,B,男,高,不支持,33,4764,1396
1057,D,女,高,不支持,40,2879,2063
1058,D,男,中,支持,34,3257,1852
1059,C,女,低,支持,39,2978,1652
1060,B,女,高,不支持,34,3472,2272
1061,A,女,高,支持,21,2356,2332
1062,A,女,高,支持,59,3382,2226
1063,B,女,中,支持,35,962,1995
1064,B,女,中,不支持,44,4218,1483
1065,A,女,中,支持,31,1906,1972
1066,B,女,中,支持,27,2005,1940
1067,C,男,中,不支持,50,2291,1773
1068,A,男,高,不支持,20,2594,2180
1069,C,女,中,不支持,39,2574,2544
1070,A,男,中,支持,61,2641,1559
1071,B,女,低,支持,38,3220,1598
1072,B,男,低,不支持,30,3148,2699
1073,B,女,低,支持,29,2432,1973
1074,A,男,中,不支持,38,2592,1942
1075,C,男,低,不支持,41,3230,1516
1076,B,男,低,不支持,38,1889,2015
1077,B,女,低,不支持,48,2791,1252
1078,C,男,中,不支持,38,2743,2176
1079,C,男,低,不支持,42,2025,2091
1080,B,女,中,支持,35,3285,1733
1081,B,女,中,支持,39,3367,2697
1082,C,女,高,支持,33,2637,2435
1083,C,男,低,支持,31,2905,2018
1084,A,女,低,不支持,49,3655,2822
1085,B,男,低,支持,56,4640,2932
1086,A,女,高,不支持,45,1537,1248
1087,B,男,中,支持,25,3252,2343
1088,B,女,中,支持,37,3386,2071
1089,C,女,中,不支持,33,3521,2909
1090,C,男,低,不支持,58,3707,1827
1091,B,女,中,不支持,24,3683,2002
1092,C,男,中,不支持,49,3584,2004
1093,B,男,高,支持,36,2734,1819
1094,D,男,高,支持,33,2762,2047
1095,A,女,低,不支持,35,2893,2048
1096,A,女,中,不支持,27,3772,2128
1097,C,男,低,支持,55,2092,2158
1098,A,女,高,支持,39,3874,2389
1099,C,男,高,不支持,37,3813,1750
1100,C,女,中,不支持,57,2102,1305
1101,B,男,中,不支持,38,3352,1612
1102,C,女,中,不支持,50,4633,1593
1103,C,男,中,不支持,35,3119,1839
1104,B,女,高,不支持,58,3031,2189
1105,B,女,高,不支持,44,2367,1840
1106,D,女,高,不支持,50,1536,2311
1107,C,女,中,不支持,37,2576,2023
1108,C,女,低,不支持,33,2434,2252
1109,B,女,中,不支持,32,1529,1700
1110,D,男,低,支持,42,3755,1837
1111,D,男,高,支持,45,2263,2404
1112,B,男,中,支持,56,3670,2115
1113,C,男,高,不支持,49,2955,1957
1114,C,男,高,不支持,44,3601,1594
1115,C,女,中,支持,42,2659,894
1116,B,男,中,支持,33,3579,2148
1117,C,男,低,支持,56,1564,2455
1118,B,女,中,不支持,38,3422,2568
1119,D,男,中,支持,36,2338,1921
1120,B,男,高,不支持,38,3737,1698
1121,C,男,低,不支持,43,2634,1881
1122,B,女,中,支持,32,4594,2007
1123,B,男,中,不支持,45,2215,1511
1124,C,男,中,不支持,26,2750,2094
1125,B,女,中,不支持,38,4571,1417
1126,C,男,中,支持,56,2682,1788
1127,C,男,中,不支持,32,2974,2102
1128,B,女,中,支持,28,3144,2063
1129,C,女,中,支持,35,4146,2513
1130,B,男,低,不支持,39,3904,2217
1131,C,女,中,支持,36,3496,1409
1132,D,女,低,不支持,34,3695,1789
1133,A,女,中,支持,23,4439,1244
1134,C,女,低,支持,35,4119,1967
1135,B,男,高,支持,37,3247,2454
1136,B,女,中,不支持,32,2927,2208
1137,C,男,低,不支持,27,3389,1985
1138,A,女,中,支持,53,3844,2352
1139,C,男,中,支持,37,3545,2178
1140,C,男,高,不支持,39,2860,1556
1141,C,女,高,不支持,60,4825,3050
1142,B,男,中,不支持,48,2905,2150
1143,B,男,中,支持,38,1983,1863
1144,D,女,高,不支持,31,2556,2465
1145,A,男,低,支持,53,3554,1827
1146,C,男,中,支持,33,2341,2104
1147,C,女,高,不支持,51,2012,1526
1148,B,男,中,不支持,54,3826,2194
1149,B,女,高,支持,45,4706,1754
1150,C,男,高,支持,37,4408,2112
1151,C,女,低,不支持,32,2356,1718
1152,B,女,高,支持,32,2653,1892
1153,C,男,中,支持,26,3646,1976
1154,A,男,高,不支持,46,2097,1792
1155,A,女,中,支持,56,2619,1890
1156,B,女,高,不支持,27,3822,2618
1157,C,女,高,支持,53,3805,1757
1158,C,女,高,支持,31,3847,2468
1159,D,女,中,支持,45,3689,1531
1160,B,男,中,不支持,52,2806,2161
1161,D,男,中,支持,40,2908,1242
1162,C,男,中,不支持,34,1578,1960
1163,D,男,低,支持,40,2544,2217
1164,D,女,低,不支持,43,4303,1937
1165,B,女,低,不支持,51,3925,1987
1166,D,女,低,支持,34,2146,1090
1167,A,女,高,不支持,37,5269,2154
1168,C,男,高,不支持,37,3721,2165
1169,C,女,中,不支持,45,3049,2335
1170,B,男,低,支持,27,3633,1937
1171,C,女,高,支持,62,4298,2032
1172,B,男,低,支持,45,3116,1934
1173,D,男,中,支持,38,2753,2056
1174,C,女,高,不支持,26,2430,2408
1175,C,女,中,不支持,53,2638,2223
1176,C,女,中,支持,49,4112,1087
1177,B,女,低,不支持,28,2299,1866
1178,B,女,低,不支持,32,2270,2112
1179,C,男,低,支持,55,3129,2297
1180,A,女,低,不支持,51,3244,1711
1181,C,女,高,支持,54,3564,1642
1182,C,女,高,支持,39,2185,1779
1183,A,女,低,支持,34,2953,2123
1184,B,女,中,不支持,47,2680,2497
1185,B,女,中,支持,39,3100,1744
1186,C,男,高,支持,40,3820,2099
1187,C,男,中,不支持,48,4364,1573
1188,C,男,高,不支持,28,3969,1451
1189,B,女,低,支持,46,3067,1708
1190,D,男,低,支持,41,3518,2294
1191,D,男,低,不支持,42,3822,1759
1192,C,女,中,不支持,29,2401,2133
1193,C,女,低,支持,38,3449,2138
1194,A,女,高,不支持,40,2683,1843
1195,A,女,高,支持,43,3768,1239
1196,C,男,高,NA,51,2268,1315
1197,B,女,中,不支持,45,2869,2479
1198,B,男,中,支持,24,4498,1832
1199,D,男,低,支持,22,3802,1747
1200,B,男,中,不支持,41,3150,1480
